SMILES,Yield,Temp,Time
C=CC1=CC=CC=C1.CC1=C(C=CC=C1)B(O)O.O=C1C=CC(=O)C=C1>>CC1=C(C=CC2=CC=CC=C2)C=CC=C1,47.0,100.0,24
C=CC1=CC=CC=C1.CC1=CC=C(C=C1)B(O)O.O=C1C=CC(=O)C=C1>>CC1=CC=C(\C=C\C2=CC=CC=C2)C=C1,73.0,100.0,24
C=CC1=CC=CC=C1.COC1=CC=C(C=C1)B(O)O.O=C1C=CC(=O)C=C1>>COC1=CC=C(\C=C\C2=CC=CC=C2)C=C1,69.0,100.0,24
C=CC1=CC=CC=C1.OB(O)C1=CC=C(F)C=C1.O=C1C=CC(=O)C=C1>>FC1=CC=C(C=CC2=CC=CC=C2)C=C1,71.0,100.0,24
C=CC1=CC=CC=C1.OB(O)C1=CC=CC=C1.O=C1C=CC(=O)C=C1>>C(=CC1=CC=CC=C1)C1=CC=CC=C1,78.0,75.0,72
CC(C)(C)C1=CC=C(C=C)C=C1.OB(O)C1=CC=CC=C1.O=C1C=CC(=O)C=C1>>CC(C)(C)C1=CC=C(C=CC2=CC=CC=C2)C=C1,52.0,100.0,24
CC(C)(C)OC1=CC=C(C=C)C=C1.OB(O)C1=CC=CC=C1.O=C1C=CC(=O)C=C1>>CC(C)(C)OC1=CC=C(C=CC2=CC=CC=C2)C=C1,88.0,100.0,24
CCCCOC(=O)C=C.OB(O)C1=CC=CC=C1.O=C1C=CC(=O)C=C1>>CCCCOC(=O)\C=C\C1=CC=CC=C1,77.0,100.0,24
