,Reagent Name,SMILES
57,magnesium 2-methylpropan-2-olate,[Mg++].CC(C)(C)[O-].CC(C)(C)[O-]
58,chlorine,ClCl
59,para-methylphenylmagnesium bromide,[Br-].Cc1ccc([Mg+])cc1
60,tert-butyl alcohol,CC(C)(C)O
61,piperidine,C1CCNCC1
62,p-toluenesulfonyl chloride,Cc1ccc(cc1)[S](Cl)(=O)=O
63,tetraethoxy orthosilicate,CCOO[Si](OOCC)(OOCC)OOCC
64,i-propyl nitrite,CC(C)ON=O
65,2-vinylpyridine,C=Cc1ccccn1
66,dimethyl sulfoxide,C[S](C)=O
67,sodium ethanolate,[Na+].CC[O-]
68,"2,3-dicyano-5,6-dichloro-p-benzoquinone",ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N
69,toluene-4-sulfonic acid,Cc1ccc(cc1)[S](O)(=O)=O
70,platinum on carbon,[Pt]
71,sodium dihydrogen phosphate monohydrate,O.[Na+].O[P](O)([O-])=O
72,calcium hydroxide,[OH-].[OH-].[Ca++]
73,lithium hydroxide monohydrate,[7Li+].O.[OH-]
74,iron(II) chloride,[Cl-].[Cl-].[Fe++]
75,ammonium sulfate,N.N.O[S](O)(=O)=O
76,p-benzoquinone,O=C1C=CC(=O)C=C1
77,cesium fluoride,[F-].[Cs+]
78,"1-methyl-2,3,4,6,7,8-hexahydro-1H-pyrimido[1,2-a]pyrimidine",CN1CCCN2CCCN=C12
79,"3,6-di-tert-butyl-9-(2-(diphenylphosphino)phenyl)-9H-carbazole",CC(C)(C)c1ccc2n(c3ccccc3P(c4ccccc4)c5ccccc5)c6ccc(cc6c2c1)C(C)(C)C
80,N-hydroxyphthalimide,ON1C(=O)c2ccccc2C1=O
81,tetrachloromethane,ClC(Cl)(Cl)Cl
82,trifluoroacetic acid,OC(=O)C(F)(F)F
83,sodium hydrogencarbonate,[Na+].OC([O-])=O
84,sodium periodate,[Na+].[O-][I](=O)(=O)=O
85,"allyl(1,3-bis(2,6-diisopropyl-4-(3-((3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)oxy)propyl)phenyl)-imidazol-2-ylidene)palladium(II) chloride",CC(C)c1cc(CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(C)C)c1N2C=CN(C2=[Pd--](Cl)CC=C)c3c(cc(CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc3C(C)C)C(C)C
86,cobalt(II) chloride,[Cl-].[Cl-].[Co++]
87,di(n-butyl)tin oxide,CCCC[Sn](=O)CCCC
88,chromium dichloride,[Cl-].[Cl-].[Cr++]
89,DavePhos,CN(C)c1ccccc1c2ccccc2P(C3CCCCC3)C4CCCCC4
90,Tetrapropylammonium chloride,[Cl-].CCC[N+](CCC)(CCC)CCC
91,phosphoric acid,O[P](O)(O)=O
92,1-methyl-pyrrolidin-2-one,CN1CCCC1=O
93,diisopropyl-carbodiimide,CC(C)N=C=NC(C)C
94,benzylamine hydrochloride,Cl.NCc1ccccc1
95,magnesium,[Mg]
96,Methyl isobutyl carbinol,CCCC(C)CO
97,bis[2-(diphenylphosphino)phenyl] ether,O(c1ccccc1P(c2ccccc2)c3ccccc3)c4ccccc4P(c5ccccc5)c6ccccc6
98,acetyl chloride,CC(Cl)=O
99,aluminium,[Al]
100,4-methoxy-N-(4-nitrobenzylidene)aniline,COc1ccc(cc1)N=Cc2ccc(cc2)[N+]([O-])=O
101,ammonium salicylate,N.OC(=O)c1ccccc1O
102,9-(2-(dicyclohexylphosphino)phenyl)-9H-carbazole,C1CCC(CC1)P(C2CCCCC2)c3ccccc3n4c5ccccc5c6ccccc46
103,"dicyclohexyl-(2',6'-dimethoxybiphenyl-2-yl)-phosphane",COc1cccc(OC)c1c2ccccc2P(C3CCCCC3)C4CCCCC4
104,potassium fluoride,[F-].[K+]
105,chlorotriisopropylsilane,CC(C)[Si](Cl)(C(C)C)C(C)C
106,copper dichloride,[Cl-].[Cl-].[Cu++]
107,tris-(o-tolyl)phosphine,Cc1ccccc1P(c2ccccc2C)c3ccccc3C
108,methanesulfonic acid,C[S](O)(=O)=O
109,[4-(benzylideneamino)phenyl]methanol,OCc1ccc(cc1)N=Cc2ccccc2
110,succinic acid,OC(=O)CCC(O)=O
111,"1-hydroxy-pyrrolidine-2,5-dione",ON1C(=O)CCC1=O
112,3-chloro-benzenecarboperoxoic acid,OOC(=O)c1cccc(Cl)c1
113,"(3aR)-1-methyl-3,3-diphenyl-tetrahydro-pyrrolo[1,2-c][1,3,2]oxazaborole",CB1OC([C@H]2CCCN12)(c3ccccc3)c4ccccc4
114,oleum,O[S](O)(=O)=O
115,"N,N-diethylaniline borane",B.CCN(CC)c1ccccc1
116,methanol,CO
117,iron,[Fe]
118,pyridine N-oxide,[O-][n+]1ccccc1
119,"1,3-dimethyl-2-imidazolidinone",CN1CCN(C)C1=O
120,succinic acid anhydride,O=C1CCC(=O)O1
121,"1,10-Phenanthroline",c1cnc2c(c1)ccc3cccnc23
122,urea hydrogen peroxide adduct,NC(N)=O.OO
123,pyridine hydrochloride,[H+].[Cl-].c1ccncc1
124,sodium iodide,[Na+].[I-]
125,sodium hypochlorite,[Na+].[O-]Cl
126,tin(IV) chloride,[Cl]|[Sn](|[Cl])(|[Cl])|[Cl]
127,Diphenylphosphinic chloride,Cl[P](=O)(c1ccccc1)c2ccccc2
128,3-Methylpyridine,Cc1cccnc1
129,dibromo sulfoxide,Br[S](Br)=O
130,tetraethylammonium bromide,[Br-].CC[N+](CC)(CC)CC
131,zinc(II) perchlorate,[Zn++].[O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O
132,1H-imidazole,[nH]1ccnc1
133,methyl tributylammonium chloride,[Cl-].CCCC[N+](C)(CCCC)CCCC
134,ISOPROPYLAMIDE,CC(C)[NH-]
135,hydroquinone,Oc1ccc(O)cc1
136,"1-dodecyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",CCCCCCCCCCCC[n+]1ccn(C)c1.CC(CC(C)(C)C)C[P]([O-])(=O)CC(C)CC(C)(C)C
137,2-iodopyridine,Ic1ccccn1
138,"N-ethoxycarbonyl-2-ethoxy-1,2-dihydroquinoline",CCOC1C=Cc2ccccc2N1C(=O)OCC
139,tris(trimethylsilyl)amine,C[Si](C)(C)N([Si](C)(C)C)[Si](C)(C)C
140,isopropylamine,CC(C)N
141,tris-(trimethylsilyl)silane,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C
142,boron trichloride,ClB(Cl)Cl
143,ammonia,N
144,2-hydroxy-pyridine N-oxide,Oc1cccc[n+]1[O-]
145,trifluoromethylsulfonic anhydride,FC(F)(F)[S](=O)(=O)O[S](=O)(=O)C(F)(F)F
146,phosphorus pentachloride,Cl[P](Cl)(Cl)(Cl)Cl
147,4-methyl-morpholine,CN1CCOCC1
148,dipyridinium dichromate,[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O.c1cc[nH+]cc1.c2cc[nH+]cc2
149,2-Methoxynaphthalene,COc1ccc2ccccc2c1
150,thiophenol,Sc1ccccc1
151,"N,N-dimethyl-formamide",CN(C)C=O
152,zinc(II) chloride,[Cl-].[Cl-].[Zn++]
153,toluene,Cc1ccccc1
154,phosphorous acid trimethyl ester,COP(OC)OC
155,triethanolamine,OCCN(CCO)CCO
156,benzotriazol-1-yloxyl-tris-(pyrrolidino)-phosphonium hexafluorophosphate,F[P-](F)(F)(F)(F)F.C1CCN(C1)[P+](On2nnc3ccccc23)(N4CCCC4)N5CCCC5
157,trichloroisocyanuric acid,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
158,sodium triacetoxy borohydride,[Na+].CC(=O)O[BH-](OC(C)=O)OC(C)=O
159,hydroxylamine-O-sulfonic acid,NO[S](O)(=O)=O
160,magnesium sulfate,[Mg++].[O-][S]([O-])(=O)=O
161,manganese(IV) oxide,O=[Mn]=O
162,sodium dithionite,[Na+].[Na+].[O-][S](=O)[S]([O-])=O
163,lithium borohydride,[Li+].[BH4-]
164,potassium nitrate,[K+].[O-][N+]([O-])=O
165,valeric acid,CCCCC(O)=O
166,hydrogen,[H]
167,potassium acetate,[K+].CC([O-])=O
168,tetrahydrofuran,C1CCOC1
169,sodium t-butanolate,[Na+].CC(C)(C)[O-]
170,triethylamine hydrochloride,[H+].[Cl-].CCN(CC)CC
171,"O-(benzotriazol-1-yl)-N,N,N',N'-tetramethyluronium tetrafluoroborate",CN(C)C(On1nnc2ccccc12)=[N+](C)C.F[B-](F)(F)F
172,copper diacetate,[Cu++].CC([O-])=O.CC([O-])=O
173,sodium phosphate dibasic dihydrate,[Na+].[Na+].O[P]([O-])([O-])=O
174,sulfolane,O=[S]1(=O)CCCC1
175,2-methyl-but-2-ene,CC=C(C)C
176,2-(Dimethylamino)pyridine,CN(C)c1ccccn1
177,tetrabutylammonium trifluoromethylsulfonate,CCCC[N+](CCCC)(CCCC)CCCC.[O-][S](=O)(=O)C(F)(F)F
178,crithmene,CC(C)C1=CCC(=CC1)C
179,sodium pentanolate,[Na+].CCCCC[O-]
180,dirhodium tetraacetate,[Rh+3].[Rh+3].CC([O-])=O.CC([O-])=O.CC([O-])=O.CC([O-])=O
181,pivaloyl chloride,CC(C)(C)C(Cl)=O
182,N-methylcyclohexylamine,CNC1CCCCC1
183,oxalyl dichloride,ClC(=O)C(Cl)=O
184,"4,4'-di-tert-butylbiphenyl",CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C
185,trimethylsilylazide,C[Si](C)(C)N=[N+]=[N-]
186,magnesium chloride,[Mg++].[Cl-].[Cl-]
187,potassium iodide,[K+].[I-]
188,caesium carbonate,[Cs+].[Cs+].[O-]C([O-])=O
189,(1R)-(6-hydroxyquinolin-4-yl)(8-vinylquinuclidin-2-yl)methyl benzoate,Oc1ccc2nccc([C@@H](OC(=O)c3ccccc3)C4CC5CCN4CC5C=C)c2c1
190,2-Picolinic acid,OC(=O)c1ccccn1
191,methylmagnesium chloride,[CH3-]|[Mg++].[Cl-]
192,isobutylamine,CC(C)CN
193,alumina,O=[Al]O[Al]=O
194,hydrogenchloride,Cl
195,"N-[(1S,2S)-2-amino-1,2-diphenylethyl]-4-methylbenzenesulfonamide",Cc1ccc(cc1)[S](=O)(=O)N[C@H]([C@@H](N)c2ccccc2)c3ccccc3
196,potassium dihydrogenphosphate,[K+].O[P](O)([O-])=O
197,trimethylsilyl bromide,C[Si](C)(C)Br
198,sodium dihydrogenphosphate dihydrate,O.O.[Na+].O[P](O)([O-])=O
199,sodium sulfite,[Na+].[Na+].[O-][S]([O-])=O
200,2-picoline borane complex,B.Cc1ccccn1
201,magnesium(II) perchlorate,[Mg++].[O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O
202,sodium hydrogen sulfide monohydrate,O.[Na].S
203,lithium aluminium tetrahydride,[H-].[H-].[H-].[H-].[Li+].[Al+3]
204,dicyclohexyl-carbodiimide,C1CCC(CC1)N=C=NC2CCCCC2
205,"2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane-2,4,6-trioxide",CCC[P]1(=O)O[P](=O)(CCC)O[P](=O)(CCC)O1
206,Iodine monochloride,ClI
207,sodium nitrite,[Na+].[O-]N=O
208,lithium diisopropyl amide,[Li+].CC(C)[N-]C(C)C
209,Pyridine hydrobromide,[H+].[Br-].c1ccncc1
210,phosphorus pentoxide,O=[P]12O[P]3(=O)O[P](=O)(O1)O[P](=O)(O2)O3
211,"N,N-diethyl-N-isopropylamine",CCN(CC)C(C)C
212,potassium bromide,[K+].[Br-]
213,Methanesulfonic anhydride,C[S](=O)(=O)O[S](C)(=O)=O
214,bis(tri-tert-butylphosphine)palladium(0),[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C
215,"6,6'-[[3,3',5,5'-tetrakis(1,1-dimethylethyl)-[1,1'-biphenyl]-2,2'-diyl]bis(oxy)]bis-dibenzo [d,f][1,3,2]-dioxaphosphepine",CC(C)(C)c1cc(c(O[p]2oc3ccccc3c4ccccc4o2)c(c1)C(C)(C)C)c5cc(cc(c5O[p]6oc7ccccc7c8ccccc8o6)C(C)(C)C)C(C)(C)C
216,methylaluminum dichloride,[Cl-].[Cl-].C[Al++]
217,DL-methionine,CSCCC(N)C(O)=O
218,propylene glycol,CC(O)CO
219,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",CN1CCCN(C)C1=O
220,diisopropylamine,CC(C)NC(C)C
221,tetrakis(triphenylphosphine) palladium(0),[Pd].c1ccc(cc1)P(c2ccccc2)c3ccccc3.c4ccc(cc4)P(c5ccccc5)c6ccccc6.c7ccc(cc7)P(c8ccccc8)c9ccccc9.c%10ccc(cc%10)P(c%11ccccc%11)c%12ccccc%12
222,calcium borohydride,[BH4-].[BH4-].[Ca++]
223,sodium chlorite,[Na+].[O-][Cl]=O
224,magnesium bromide ethyl etherate,[Mg++].[Br-].[Br-].CCOCC
225,15-crown-5,C1COCCOCCOCCOCCO1
226,phosgene,ClC(Cl)=O
227,sulfur trioxide pyridine complex,O=[S](=O)=O.c1ccncc1
228,cyclohexylmagnesium bromide,[Br-].[Mg+]C1CCCCC1
229,tetra(n-butyl)ammonium hydrogensulfate,CCCC[N+](CCCC)(CCCC)CCCC.O[S]([O-])(=O)=O
230,lithium tetrafluoroborate,[Li+].F[B-](F)(F)F
231,ethylene dibromide,BrCCBr
232,sodium carbonate decahydrate,O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]C([O-])=O
233,isopropylmagnesium bromide,[Br-].CC(C)[Mg+]
234,Acetyl bromide,CC(Br)=O
235,methylamine,CN
236,"2,2'-[1,2-ethanediylbis(oxy)]bisethanol",OCCOCCOCCO
237,"N,N-dimethyl-aniline",CN(C)c1ccccc1
238,copper,[Cu]
239,"N,N,N-trimethylbenzenemethanaminium dichloroiodate",C[N+](C)(C)Cc1ccccc1.Cl[I](=O)=O.Cl[I](=O)=O
240,triphenylphosphine,c1ccc(cc1)P(c2ccccc2)c3ccccc3
241,formic acid,OC=O
242,peracetic acid,CC(=O)OO
