SMILES,Yield,Temp,Time
BrCCCC=C.COC(=O)C1=CC=C(O)C=C1.[K+].[K+].[O-]C([O-])=O.CCCC[N+](CCCC)(CCCC)CCCC.[Br-].[OH-].[Na+]>>OC(=O)C1=CC=C(OCCCC=C)C=C1,81.0,95.0,1.5
CCCCOB(OCCCC)OCCCC.CC1=CC=C(Br)C=C1.NCCO.[Mg].BrCCBr.O>>CC1=CC=C(C=C1)[B]1(=[NH2]CCO1)C1=CC=C(C)C=C1,88.0,45.0,3
CCCCOB(OCCCC)OCCCC.CN(C)CCCO.CC1=CC=C(Br)C=C1.[Mg].BrCCBr.O>>CC1=CC=C(C=C1)[B]1(OCCC[N]1(C)C)C1=CC=C(C)C=C1,64.0,45.0,3
Cl[H].CN(C)CCCl.OC(=O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>CN(C)CCOC(=O)C1=CC=CC=C1,85.0,90.0,1.5
CN(C)CC(O)=O.CCCCOB(OCCCC)OCCCC.CC1=CC=C(Br)C=C1.[Mg].BrCCBr.O>>CC1=CC=C(C=C1)[B]1(OC(=O)C[N]1(C)C)C1=CC=C(C)C=C1,62.0,45.0,3
OC(=O)C1=CC(I)=CC=C1Br.CCI.[K+].[K+].[O-]C([O-])=O>>CCOC(=O)C1=C(Br)C=CC(I)=C1,99.0,20.0,16
